Raw ELEITO (inclusive QP/média) exibido como "Não Eleito"
contagem: 160

rafael-fonteles | 2022 | Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
ciro-gomes-gov-ce | 2006 | Deputado Federal | "2006 - Não Eleito" | ELEITO (TSE 2006)
eduardo-braide | 2024 | Prefeito | "2024 - Não Eleito" | ELEITO (TSE 2024)
eduardo-braide | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
gelson-merisio | 2014 | Deputado Estadual | "2014 - Não Eleito" | ELEITO POR QP (TSE 2014)
gelson-merisio | 2010 | Deputado Estadual | "2010 - Não Eleito" | ELEITO (TSE 2010)
capitao-wagner | 2018 | Deputado Federal | "2018 - Não Eleito" | ELEITO POR QP (TSE 2018)
capitao-wagner | 2012 | Vereador | "2012 - Não Eleito" | ELEITO POR QP (TSE 2012)
jesus-rodrigues | 2010 | Candidatura a Deputado Federal | "2010 - Não Eleito" | Candidatura TSE 2010, PI, deputado federal, SQ 180000000676, situacao APTO, resu
jorginho-mello | 2022 | Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
jorginho-mello | 2018 | Senador | "2018 - Não Eleito" | ELEITO (TSE 2018)
jeronimo | 2022 | Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
izalci-lucas | 2018 | Candidatura a Senador | "2018 - Não Eleito" | Candidatura TSE 2018, DF, senador, SQ 70000625515, situacao APTO, resultado ELEI
izalci-lucas | 2014 | Candidatura a Deputado Federal | "2014 - Não Eleito" | Candidatura TSE 2014, DF, deputado federal, SQ 70000001075, situacao APTO, resul
izalci-lucas | 2010 | Candidatura a Deputado Federal | "2010 - Não Eleito" | Candidatura TSE 2010, DF, deputado federal, SQ 70000000726, situacao APTO, resul
joao-campos | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
ricardo-ferraco | 1998 | Deputado Federal | "1998 - Não Eleito" | ELEITO (TSE 1998)
juliana-brizola | 2018 | Deputado Estadual | "2018 - Não Eleito" | ELEITO POR QP (TSE 2018)
ze-coca | 2008 | Prefeito | "2008 - Não Eleito" | ELEITO (TSE 2008)
hana-ghassan | 2022 | Vice-Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
cleber-rabelo | 2012 | Vereador | "2012 - Não Eleito" | ELEITO POR QP (TSE 2012)
giovanni-sampaio | 2020 | Candidatura a Vice-Prefeito | "2020 - Não Eleito" | Candidatura TSE 2020, Juazeiro do Norte/CE, vice-prefeito, SQ 60000916886, situa
giovanni-sampaio | 2016 | Candidatura a Vice-Prefeito | "2016 - Não Eleito" | Candidatura TSE 2016, Juazeiro do Norte/CE, vice-prefeito, SQ 60000016045, situa
toni-rodrigues | 2012 | Candidatura a Vereador | "2012 - Não Eleito" | Candidatura TSE 2012, Altos/PI, vereador, SQ 180000012070, situacao APTO, result
ricardo-marques | 2024 | Vice-Prefeito | "2024 - Não Eleito" | ELEITO (TSE 2024)
ricardo-marques | 2020 | Vereador | "2020 - Não Eleito" | ELEITO POR MÉDIA (TSE 2020)
gabriel-azevedo | 2020 | Vereador | "2020 - Não Eleito" | ELEITO POR QP (TSE 2020)
vittorio-medioli | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
vittorio-medioli | 2016 | Prefeito | "2016 - Não Eleito" | ELEITO (TSE 2016)
helder-salomao | 2018 | Deputado Federal | "2018 - Não Eleito" | ELEITO POR MÉDIA (TSE 2018)
