Sobreposição de mandatos sem regra de precedência aplicada
contagem: 116

ciro-gomes-gov-ce | Ministro da Fazenda@1994-1995 X Ministro@1994-1995 | C1 congelada mas os dois lados aparecem (ou os dois sumiram)
ciro-gomes-gov-ce | Ministro da Fazenda@1994-1995 X Ministro@1994-1995 | C1 congelada ainda aparece na lista pública
teresa-surita | Prefeito@2012 | marcada=false, esperado=true pelo manifesto congelado
teresa-surita | Deputado Federal@2010 | marcada=false, esperado=true pelo manifesto congelado
eduardo-braide | Prefeito@2021 | marcada=false, esperado=true pelo manifesto congelado
eduardo-braide | Deputado Federal@2018 | marcada=false, esperado=true pelo manifesto congelado
capitao-wagner | Deputado Estadual@2019 | marcada=false, esperado=true pelo manifesto congelado
capitao-wagner | Deputado Federal@2019 | marcada=false, esperado=true pelo manifesto congelado
capitao-wagner | Deputado Estadual@2014 | marcada=false, esperado=true pelo manifesto congelado
capitao-wagner | Vereador@2013 | marcada=false, esperado=true pelo manifesto congelado
joao-campos | Deputado Federal@2014 | marcada=false, esperado=true pelo manifesto congelado
joao-campos | Deputado Federal@2010 | marcada=false, esperado=true pelo manifesto congelado
joao-campos | Deputado Federal@2006 | marcada=false, esperado=true pelo manifesto congelado
joao-campos | Deputado Federal@2002 | marcada=false, esperado=true pelo manifesto congelado
marconi-perillo | Governador@2010 | marcada=false, esperado=true pelo manifesto congelado
marconi-perillo | Senador@2006 | marcada=false, esperado=true pelo manifesto congelado
marconi-perillo | Deputado Federal@1994 | marcada=false, esperado=true pelo manifesto congelado
marconi-perillo | Deputado Estadual@1991 | marcada=false, esperado=true pelo manifesto congelado
ricardo-ferraco | Senador@2010 | marcada=false, esperado=true pelo manifesto congelado
ricardo-ferraco | Vice-Governador@2006 | marcada=false, esperado=true pelo manifesto congelado
ricardo-ferraco | Deputado Federal@1999 | marcada=false, esperado=true pelo manifesto congelado
juliana-brizola | Vereador@2013 | marcada=false, esperado=true pelo manifesto congelado
juliana-brizola | Deputado Estadual@2010 | marcada=false, esperado=true pelo manifesto congelado
ze-coca | Prefeito@2025 | marcada=false, esperado=true pelo manifesto congelado
ze-coca | Prefeito@2020 | marcada=false, esperado=true pelo manifesto congelado
ze-coca | Deputado Estadual@2018 | marcada=false, esperado=true pelo manifesto congelado
ze-coca | Prefeito@2012 | marcada=false, esperado=true pelo manifesto congelado
helder-salomao | Deputado Federal@2011 | marcada=false, esperado=true pelo manifesto congelado
helder-salomao | Prefeito@2009 | marcada=false, esperado=true pelo manifesto congelado
ratinho-junior | Deputado Federal@2006 | marcada=false, esperado=true pelo manifesto congelado
ratinho-junior | Deputado Estadual@2004 | marcada=false, esperado=true pelo manifesto congelado
jayme-campos | Senador@2019 | marcada=false, esperado=true pelo manifesto congelado
jayme-campos | Senador@2007 | marcada=false, esperado=true pelo manifesto congelado
jayme-campos | Prefeito@2000 | marcada=false, esperado=true pelo manifesto congelado
orleans-brandao | Governador@2022 | marcada=false, esperado=true pelo manifesto congelado
orleans-brandao | Vice-Governador@2018 | marcada=false, esperado=true pelo manifesto congelado
orleans-brandao | Vice-Governador@2015 | marcada=false, esperado=true pelo manifesto congelado
orleans-brandao | Deputado Federal@2010 | marcada=false, esperado=true pelo manifesto congelado
amelio-cayres | Presidente da Assembleia Legislativa do Tocantins@2023-2025 X presidente da Assembléia Legislativa do Tocantins@2023-2025 | C1 congelada mas os dois lados aparecem (ou os dois sumiram)
